phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,rushing_yards,2024,rmse_delta,0.0,0.0,0.0,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.0,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.0,0.0,0.0,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.0,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,0.0,0.0,0.0,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.0,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,0.0,0.0,0.0,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.0,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,0.0,0.0,0.0,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.0,,,552,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,0.0,0.0,0.0,571,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.0,,,571,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,0.0,0.0,0.0,2223,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.0,,,2223,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,0.0,0.0,0.0,556,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.0,,,556,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,0.0,0.0,0.0,544,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,0.0,,,544,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,0.0,0.0,0.0,552,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,0.0,,,552,NULL,
phase1,QB,fumbles_lost,2024,rmse_delta,0.0,0.0,0.0,571,NULL,
phase1,QB,fumbles_lost,2024,r_squared_delta,0.0,,,571,NULL,
phase1,QB,fumbles_lost,pooled,rmse_delta,0.0,0.0,0.0,2223,NULL,
phase1,QB,fumbles_lost,pooled,r_squared_delta,0.0,,,2223,NULL,
phase1,RB,rushing_yards,2021,rmse_delta,0.0,0.0,0.0,969,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0,,,969,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,0.0,0.0,0.0,913,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.0,,,913,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.0,0.0,0.0,900,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.0,,,900,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,0.0,0.0,0.0,941,NULL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.0,,,941,NULL,
phase1,RB,rushing_yards,pooled,rmse_delta,0.0,0.0,0.0,3723,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0,,,3723,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,0.0,0.0,0.0,969,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.0,,,969,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,0.0,0.0,0.0,913,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,0.0,,,913,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,0.0,0.0,0.0,900,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,0.0,,,900,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,0.0,0.0,0.0,941,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.0,,,941,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,0.0,0.0,0.0,3723,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.0,,,3723,NULL,
phase1,RB,receptions,2021,rmse_delta,0.0,0.0,0.0,969,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.0,,,969,NULL,
phase1,RB,receptions,2022,rmse_delta,0.0,0.0,0.0,913,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.0,,,913,NULL,
phase1,RB,receptions,2023,rmse_delta,0.0,0.0,0.0,900,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.0,,,900,NULL,
phase1,RB,receptions,2024,rmse_delta,0.0,0.0,0.0,941,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.0,,,941,NULL,
phase1,RB,receptions,pooled,rmse_delta,0.0,0.0,0.0,3723,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.0,,,3723,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,0.0,0.0,0.0,969,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,0.0,,,969,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,0.0,0.0,0.0,913,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,0.0,,,913,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,0.0,0.0,0.0,900,NULL,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0,,,900,NULL,
phase1,RB,receiving_yards,2024,rmse_delta,0.0,0.0,0.0,941,NULL,
phase1,RB,receiving_yards,2024,r_squared_delta,0.0,,,941,NULL,
phase1,RB,receiving_yards,pooled,rmse_delta,0.0,0.0,0.0,3723,NULL,
phase1,RB,receiving_yards,pooled,r_squared_delta,0.0,,,3723,NULL,
phase1,RB,receiving_tds,2021,rmse_delta,0.0,0.0,0.0,969,NULL,
phase1,RB,receiving_tds,2021,r_squared_delta,0.0,,,969,NULL,
phase1,RB,receiving_tds,2022,rmse_delta,0.0,0.0,0.0,913,NULL,
phase1,RB,receiving_tds,2022,r_squared_delta,0.0,,,913,NULL,
phase1,RB,receiving_tds,2023,rmse_delta,0.0,0.0,0.0,900,NULL,
phase1,RB,receiving_tds,2023,r_squared_delta,0.0,,,900,NULL,
phase1,RB,receiving_tds,2024,rmse_delta,0.0,0.0,0.0,941,NULL,
phase1,RB,receiving_tds,2024,r_squared_delta,0.0,,,941,NULL,
phase1,RB,receiving_tds,pooled,rmse_delta,0.0,0.0,0.0,3723,NULL,
phase1,RB,receiving_tds,pooled,r_squared_delta,0.0,,,3723,NULL,
phase1,RB,fumbles_lost,2021,rmse_delta,0.0,0.0,0.0,969,NULL,
phase1,RB,fumbles_lost,2021,r_squared_delta,0.0,,,969,NULL,
phase1,RB,fumbles_lost,2022,rmse_delta,0.0,0.0,0.0,913,NULL,
phase1,RB,fumbles_lost,2022,r_squared_delta,0.0,,,913,NULL,
phase1,RB,fumbles_lost,2023,rmse_delta,0.0,0.0,0.0,900,NULL,
